original,translation,quotient,source_language,target_language
voorbij,over,1.0,Dutch,English
nazeggen,repeat,1.0,Dutch,English
middel,tool,1.0,Dutch,English
hadden daar moeite mee,struggled with that,1.0,Dutch,English
opdrachten,assignments,1.0,Dutch,English
uitvoeren,implementing,1.0,Dutch,English
een kwestie van,a matter of,1.0,Dutch,English
overdag,during daytime,1.0,Dutch,English
maatschappij,society,1.0,Dutch,English
twijfel,doubt,1.0,Dutch,English
beslissing,decision,1.0,Dutch,English
verwacht,expect,1.0,Dutch,English
opzetten,setting up,1.0,Dutch,English
slagen,pass,1.0,Dutch,English
opleiding,education,1.0,Dutch,English
