original,translation,quotient,source_language,target_language
koninkrijk,kingdom,0.125,Dutch,English
ontstaan,originated,0.25,Dutch,English
zetten,put,0.125,Dutch,English
enkele,a few,0.25,Dutch,English
op een rij,in a row,0.125,Dutch,English
richten,direct,0.03125,Dutch,English
aandacht,attention,0.25,Dutch,English
rijk,empire,0.5,Dutch,English
leiding,lead,0.125,Dutch,English
voerden,conducted,0.25,Dutch,English
uiteindelijk,in the end,0.25,Dutch,English
kwam tot stand,came about,0.125,Dutch,English
verenigde,United,0.125,Dutch,English
gingen,went,0.25,Dutch,English
verre,distant,0.25,Dutch,English
namen in bezzit,took possession,0.125,Dutch,English
bezit,possession,0.25,Dutch,English
namen,names,0.125,Dutch,English
herinneren,remind,0.0625,Dutch,English
daaraan,of that,0.125,Dutch,English
horen bij,belong to,0.125,Dutch,English
werd,became,0.0625,Dutch,English
hieraan,to this,0.25,Dutch,English
lid,member,0.125,Dutch,English
vlag,flag,0.0625,Dutch,English
ontwikkeld,developed,0.25,Dutch,English
tegenstelling,contrast,0.25,Dutch,English
ontwikkeling,development,0.125,Dutch,English
meegemaakt,experienced,0.03125,Dutch,English
geschiedenis,History,0.0625,Dutch,English
leidde,led,0.125,Dutch,English
waarbij,whereby,0.125,Dutch,English
tientallen,tens,0.125,Dutch,English
stierven,died,0.25,Dutch,English
verloor,lost,0.03125,Dutch,English
waardoor,through which,0.125,Dutch,English
volk,people,0.0625,Dutch,English
hoort bij,belongs to,0.25,Dutch,English
waarheid,truth,0.125,Dutch,English
