original,translation,quotient,source_language,target_language
ogenblikje,just a moment,0.125,Dutch,English
roep,call,0.125,Dutch,English
te voet,on foot,0.125,Dutch,English
prettiger,more pleasant,0.125,Dutch,English
ontstaan,origination,0.125,Dutch,English
rondom,around,0.0625,Dutch,English
lieten,had,0.125,Dutch,English
dankzij,due to,0.125,Dutch,English
vochtig,wet,0.0625,Dutch,English
tentoonstelling,exposition,0.25,Dutch,English
stelsel,system,0.125,Dutch,English
gegraven,dug,0.25,Dutch,English
ten behoeve van,For the benefit of,0.125,Dutch,English
vervoer,transport,0.25,Dutch,English
destijds,at the time,0.125,Dutch,English
kooplui,merchants,0.25,Dutch,English
goederen,goods,0.0625,Dutch,English
zolder,attic,0.0625,Dutch,English
pont,ferry,0.25,Dutch,English
dichtbebouwde,densely built,0.125,Dutch,English
woonwijk,residential area,0.0625,Dutch,English
gevaarlijk,unsafe,0.0625,Dutch,English
overdrijft,exaggerated,0.125,Dutch,English
meid,girl,0.125,Dutch,English
overkomen,happen,0.0625,Dutch,English
plattegrond,map,0.25,Dutch,English
