original,translation,quotient,source_language,target_language
kiezers,voters,0.03125,Dutch,English
regering,government,0.25,Dutch,English
meerderheid,majority,0.125,Dutch,English
bespreken,discuss,0.25,Dutch,English
voert,performs,0.5,Dutch,English
stevige,intense,0.125,Dutch,English
levert,provides,0.0625,Dutch,English
felle,fierce,0.25,Dutch,English
voorstel,proposal,0.25,Dutch,English
overtuigen,convince,0.5,Dutch,English
wensen,wish,0.25,Dutch,English
wens,Wish,0.0625,Dutch,English
weigeren,decline,0.0625,Dutch,English
verliest,loses,0.5,Dutch,English
vertrouwen,trust,0.5,Dutch,English
macht,power,0.0625,Dutch,English
wetten,laws,0.25,Dutch,English
vertegenwoordiger,Representative,0.125,Dutch,English
verbinende,connecting,0.125,Dutch,English
dergelijk,such,0.125,Dutch,English
