original,translation,quotient,source_language,target_language
warmtenetten,heating networks,1.0,Dutch,English
betaalbaar,affordable,1.0,Dutch,English
maatregelen,measures,1.0,Dutch,English
aansluitingen,Connections,2.0,Dutch,English
aantrekkelijker,More appealing,0.5,Dutch,English
verlagen,decrease,0.5,Dutch,English
aansluitkosten,connection fees,2.0,Dutch,English
pleiten,advocate,1.0,Dutch,English
zich verzameld,collected,0.5,Dutch,English
biedt,offers,0.5,Dutch,English
trage,slow,0.125,Dutch,English
toename,increase,0.5,Dutch,English
aanleggen,installation,1.0,Dutch,English
rendabel,profitable,0.5,Dutch,English
lukt,succeeds,4.0,Dutch,English
aanvaardbaar,acceptable,1.0,Dutch,English
bovendien,Moreover,0.25,Dutch,English
wetgeving,legislation,0.5,Dutch,English
regelgeving,regulations,0.25,Dutch,English
onzekerheid,uncertainty,0.5,Dutch,English
sprake,case,1.0,Dutch,English
verergert,worsens,4.0,Dutch,English
stroomnet,powergrid,0.5,Dutch,English
huishoudens,households,0.125,Dutch,English
aangesloten,connected,1.0,Dutch,English
doelen,objectives,2.0,Dutch,English
halen,get,0.125,Dutch,English
weer,again,0.5,Dutch,English
onvoldoende,insufficient,1.0,Dutch,English
vertrouwen,trust,1.0,Dutch,English
schreef,wrote,1.0,Dutch,English
prijsgrens,price limit,0.25,Dutch,English
stelt,establishes,2.0,Dutch,English
leveringslasten,delivery charges,1.0,Dutch,English
omlaag,reduce,0.5,Dutch,English
steun,support,1.0,Dutch,English
smalle beurs,narrow purse,1.0,Dutch,English
noodgedwongen,forced,0.5,Dutch,English
overstappen,transfer,1.0,Dutch,English
belast,Taxes,0.5,Dutch,English
overvolle,overcrowded,0.5,Dutch,English
beperken,restrict,1.0,Dutch,English
ontwerp,design,1.0,Dutch,English
