original,translation,quotient,source_language,target_language
lang,by far,0.25,Dutch,English
in deeltijd,part-time,0.25,Dutch,English
beroep,profession,0.25,Dutch,English
eenvoudig,simple,0.25,Dutch,English
verdwijnt,disappears,2.0,Dutch,English
opleiding,education,0.125,Dutch,English
tijdelijk,tempory,0.25,Dutch,English
telkens,again and again,0.125,Dutch,English
opnieuw,again,0.0625,Dutch,English
ervaring,experience,0.25,Dutch,English
toekomst,future,0.125,Dutch,English
tijdens,during,0.125,Dutch,English
telt,counts,0.25,Dutch,English
kennis,knowledge,0.125,Dutch,English
bezitten,possess,0.5,Dutch,English
bovendien,Moreover,0.5,Dutch,English
verdiennen,earn,0.125,Dutch,English
verdienen,earn,0.125,Dutch,English
beide,both,0.25,Dutch,English
ineens,suddenly,0.25,Dutch,English
ontslagen,laid off,0.25,Dutch,English
waarvan,of which,0.125,Dutch,English
loon,Salary,0.03125,Dutch,English
gedurende,during,0.125,Dutch,English
einige,some,0.25,Dutch,English
uitkering,benefit,0.125,Dutch,English
regering,government,0.125,Dutch,English
bedrag,amount,0.125,Dutch,English
werkervaring,Work Experience,0.5,Dutch,English
