original,translation,quotient,source_language,target_language
verloopt,expires,0.03125,Dutch,English
loket,counter,0.0625,Dutch,English
afdeling,department,0.015625,Dutch,English
burgerzaken,Civil Affairs,0.0625,Dutch,English
stadsdelen,districts,0.015625,Dutch,English
kantoren,offices,0.03125,Dutch,English
ernaatoe,to it,0.0625,Dutch,English
huwelijk,wedding,0.015625,Dutch,English
overlijden,death,0.03125,Dutch,English
vergunning,Permit,0.015625,Dutch,English
verzamelt,collects,0.0625,Dutch,English
afval,waste,0.015625,Dutch,English
taken,tasks,0.03125,Dutch,English
leden,members,0.03125,Dutch,English
raad,council,0.0625,Dutch,English
bestuur,management,0.0625,Dutch,English
verkiezingen,Election,0.0625,Dutch,English
daarmee,with that,0.03125,Dutch,English
burgemeester,mayor,0.0625,Dutch,English
lijkt op,resembles,0.0625,Dutch,English
voorzitter,Chairman,0.03125,Dutch,English
vergaderingen,meetings,0.0625,Dutch,English
beslist,decides,0.03125,Dutch,English
boos,angry,0.0625,Dutch,English
