original,translation,quotient,source_language,target_language
bevolking,population,1.0,Dutch,English
hangt ervan af,depends on it,1.0,Dutch,English
ervan,thereof,1.0,Dutch,English
bekijkt,is viewing,1.0,Dutch,English
inwoners,inhabitants,0.9,Dutch,English
minder,less,0.9,Dutch,English
relatief,relative,1.0,Dutch,English
dichte,dense,0.9,Dutch,English
gemiddeld,average,0.9,Dutch,English
kilometer,kilometer,1.0,Dutch,English
figuur,figure,0.81,Dutch,English
nogal,quite a bit,1.0,Dutch,English
gegroeid,grown,0.9,Dutch,English
groei,growth,1.0,Dutch,English
gaat door,continues,1.1,Dutch,English
grote,large,1.1,Dutch,English
oorzaken,Causes,1.0,Dutch,English
daarvan,thereof,0.9,Dutch,English
hoger,higher,0.9,Dutch,English
gemiddelde,average,1.0,Dutch,English
EU,EU,1.0,Dutch,English
groeit,growing,1.1,Dutch,English
doordat,because,0.9,Dutch,English
leven,live,0.9,Dutch,English
belangrijke,Key,1.0,Dutch,English
immigratie,immigration,0.891,Dutch,English
behoefte aan,need of,1.0,Dutch,English
vrijheid,freedom,1.0,Dutch,English
veiligheid,safety,0.9,Dutch,English
universiteit,university,1.0,Dutch,English
liefde,love,0.9,Dutch,English
verlaten,left,1.0,Dutch,English
juist,correct,0.9,Dutch,English
verklaring,Declaration,1.0,Dutch,English
daarvoor,for that,1.0,Dutch,English
vertrekken,leave,1.1,Dutch,English
regels,lines,1.1,Dutch,English
christelijk,Christian,0.9,Dutch,English
protestantse,protestant,1.1,Dutch,English
rechten,rights,1.0,Dutch,English
godsdienst,religion,1.0,Dutch,English
katholieken,catholics,1.1,Dutch,English
joden,Jew,1.0,Dutch,English
staat,stands,1.0,Dutch,English
godsdiensten,Religion,1.1,Dutch,English
gelijke,equal,0.9,Dutch,English
christenen,Christian,1.0,Dutch,English
afgenomen,Reduced,1.1,Dutch,English
in,in,0.9,Dutch,English
God,God,0.9,Dutch,English
geloven,believe,1.0,Dutch,English
op basis van,based on,1.0,Dutch,English
vaststellen,determine,1.0,Dutch,English
grootst,Largest,1.0,Dutch,English
