original,translation,quotient,source_language,target_language
verdeeld,divided,0.00390625,Dutch,English
ontdekt,discovered,0.0078125,Dutch,English
afhankelijk,dependent,0.0078125,Dutch,English
veroorzaakt,caused,0.0078125,Dutch,English
daalt,sinks,0.0078125,Dutch,English
beweegt,moves,0.0078125,Dutch,English
levert,provides,0.015625,Dutch,English
geldt,applies,0.015625,Dutch,English
overigens,moreover,0.015625,Dutch,English
bestaat,exists,0.0078125,Dutch,English
lege,empty,0.00390625,Dutch,English
een stuk,much,0.00390625,Dutch,English
vergaderstad,meeting city,0.001953125,Dutch,English
even,just as,0.015625,Dutch,English
wandelen,Hiking,0.015625,Dutch,English
slimme,smart,0.0078125,Dutch,English
maatschappelijke,social,0.00390625,Dutch,English
