original,translation,quotient,source_language,target_language
zich voorstellen,imagine,0.125,Dutch,English
oorspronkelijk,originally,2.0,Dutch,English
destijds,in those days,0.5,Dutch,English
grenzen,borders,0.125,Dutch,English
bestond,existed,0.25,Dutch,English
weliswaar,in fact,2.0,Dutch,English
massaal,in massive numbers,0.125,Dutch,English
wapens,weapons,0.5,Dutch,English
geweld,violence,0.25,Dutch,English
wet,law,0.25,Dutch,English
dergelijke,such,0.25,Dutch,English
opzichten,aspects,0.125,Dutch,English
