original,translation,quotient,source_language,target_language
laatst,last,0.0625,Dutch,English
reed,drove,0.25,Dutch,English
toen,then,0.25,Dutch,English
deed,did,0.125,Dutch,English
verkeerd,wrong,0.25,Dutch,English
vreemd,strange,0.5,Dutch,English
gevoel,feeling,1.0,Dutch,English
iets verkeerds,something wrong,0.0625,Dutch,English
raar,weird,0.0625,Dutch,English
ongeluk,accident,0.125,Dutch,English
gebeurd,happened,0.0625,Dutch,English
licht,light,0.125,Dutch,English
wijst,points out,0.25,Dutch,English
gevaren,dangers,0.25,Dutch,English
tenminste,at least,0.125,Dutch,English
boete,fine,0.25,Dutch,English
betaalt,pays,0.25,Dutch,English
biertjes,beers,0.125,Dutch,English
gedronken,drunk,0.03125,Dutch,English
rijden,drive,0.0625,Dutch,English
agent,police officer,0.25,Dutch,English
veilig,safe,2.0,Dutch,English
aankomt,arrives,0.25,Dutch,English
feestje,Party,0.0625,Dutch,English
toont,shows,0.125,Dutch,English
belangstelling,Interest,0.125,Dutch,English
duren,last,0.25,Dutch,English
onbekende,stranger,0.25,Dutch,English
legt .. uit,explains,0.125,Dutch,English
stelen,steals,0.5,Dutch,English
gestolen,stolen,0.125,Dutch,English
conclusie,conclusion,0.0625,Dutch,English
vorige,previous,0.03125,Dutch,English
ingebroken,broken in,0.25,Dutch,English
meteen,now,0.0625,Dutch,English
zeer,very,0.25,Dutch,English
zaak,case,0.25,Dutch,English
laat,let,0.125,Dutch,English
lachen,laugh,0.125,Dutch,English
slechte,bad,0.125,Dutch,English
ervaringen,experiences,0.0625,Dutch,English
aangifte,statement,0.125,Dutch,English
ieder,every,0.125,Dutch,English
duizenden,thousands,0.125,Dutch,English
kwam,came,0.0625,Dutch,English
aardig,kind,0.125,Dutch,English
oplossen,solving,0.125,Dutch,English
schijnt,seems,0.125,Dutch,English
