original,translation,quotient,source_language,target_language
regelen,arrange,0.5,Dutch,English
invullen,fill out,0.25,Dutch,English
gesprekken voeren,have conversations,0.125,Dutch,English
wilde,wanted,0.0625,Dutch,English
verblijfsvergunning,residence permit,0.125,Dutch,English
kreeg,got,0.125,Dutch,English
zeiden,said,0.0625,Dutch,English
bezitten,own,0.25,Dutch,English
liet,let,0.125,Dutch,English
zich,himself,0.25,Dutch,English
tegelijk,at the same time,0.125,Dutch,English
straks,soon,0.125,Dutch,English
gegevens,details,0.25,Dutch,English
eveneens,Also,0.25,Dutch,English
voorlopig,for the time being,0.25,Dutch,English
geval,case,0.25,Dutch,English
bleek,turned out to be,0.125,Dutch,English
afhankelijk,dependent,0.125,Dutch,English
vergunning,Permit,0.125,Dutch,English
ziektekosten,medical expenses,0.25,Dutch,English
vergelijken,compare,0.25,Dutch,English
