original,translation,quotient,source_language,target_language
heleboel,a lot,0.03125,Dutch,English
je redden,manage,0.0625,Dutch,English
enigszins,Somewhat,0.125,Dutch,English
hoeft,must,0.0625,Dutch,English
overbodig,unnecessary,0.03125,Dutch,English
verschrikkelijk,terribly,0.125,Dutch,English
zorgvuldig,carefully,0.0625,Dutch,English
dient,serves,0.0625,Dutch,English
uitsluitend,only,0.0625,Dutch,English
voorbereiding,preparation,0.125,Dutch,English
hulpmiddel,tool,0.03125,Dutch,English
zich voordoet,occurs,0.125,Dutch,English
overzicht,overview,0.03125,Dutch,English
onderdeel,part,0.125,Dutch,English
voorin,front,0.0625,Dutch,English
nou en of,certainly,0.0625,Dutch,English
tien tegen één,most likely,0.0625,Dutch,English
alinea,paragraph,0.25,Dutch,English
hardop,loudly,0.03125,Dutch,English
bladzijde,page,0.03125,Dutch,English
ga je gang,you can start,0.0625,Dutch,English
