original,translation,quotient,source_language,target_language
wist,knew,0.25,Dutch,English
lag,was located,0.125,Dutch,English
flauw,faint,0.0625,Dutch,English
meende,thought,0.5,Dutch,English
ergens,somewhere,0.0625,Dutch,English
bodem,bottom,0.25,Dutch,English
intussen,by now,0.125,Dutch,English
werkelijkheid,Reality,0.125,Dutch,English
evenals,just like,0.125,Dutch,English
onafhankelijke,Independent,0.125,Dutch,English
gewone,regular,0.125,Dutch,English
nergens,nowhere,0.0625,Dutch,English
maten,sizes,1.0,Dutch,English
zo'n,such,0.0625,Dutch,English
smal,little,0.125,Dutch,English
trap,stairs,0.25,Dutch,English
omhoog,up,0.125,Dutch,English
overigens,moreover,0.0625,Dutch,English
vergadering,meeting,0.25,Dutch,English
wou,wanted,0.0625,Dutch,English
