original,translation,quotient,source_language,target_language
sterven,die,0.0625,Dutch,English
leveren,produce,0.125,Dutch,English
bewijs,proof,0.125,Dutch,English
gevaarlijke,dangerous,0.125,Dutch,English
toestand,situation,0.125,Dutch,English
ontstaat,arises,0.25,Dutch,English
wijze,manner,0.25,Dutch,English
verwachting,expectation,0.125,Dutch,English
duurzame,sustainable,0.125,Dutch,English
beleid,policy,0.0625,Dutch,English
blijkbaar,Apparently,0.125,Dutch,English
behoorlijk,Quite,0.25,Dutch,English
verantwoordelijk,responsible,0.0625,Dutch,English
besluiten,decide,0.0625,Dutch,English
gedraag,Behaviour,0.25,Dutch,English
flinke,considerable,0.125,Dutch,English
flink wat,quite a lot,0.125,Dutch,English
bewust,consciously,0.0625,Dutch,English
