original,translation,quotient,source_language,target_language
op de helft,halfway,0.25,Dutch,English
hoofdstuk,chapter,2.0,Dutch,English
begonnen,started,0.5,Dutch,English
onderwerpen,topics,0.25,Dutch,English
behandeld,handled,0.5,Dutch,English
inmiddels,by now,1.0,Dutch,English
vast,certainly,1.0,Dutch,English
gemerkt,noticed,0.5,Dutch,English
gemakkelijk,easily,0.5,Dutch,English
ondanks,despite,2.0,Dutch,English
behoorlijk,quite,4.0,Dutch,English
verklaar,explain,0.25,Dutch,English
simpel,simple,1.0,Dutch,English
redenen,reasons,0.5,Dutch,English
gebruik,use,0.25,Dutch,English
regelmatig,regularly,0.25,Dutch,English
rest,rest,0.5,Dutch,English
nauwelijks,barely,2.0,Dutch,English
grammatica,grammar,1.0,Dutch,English
lastig,difficult,0.25,Dutch,English
immers,after all,1.0,Dutch,English
fout,error,4.0,Dutch,English
maken,make,0.5,Dutch,English
fouten,errors,1.0,Dutch,English
door,through,0.5,Dutch,English
verdwijen,disappear,1.0,Dutch,English
zulke,such,2.0,Dutch,English
tellen,count,1.0,Dutch,English
feit,fact,1.0,Dutch,English
slechts,only,1.0,Dutch,English
eerlijk,honest,2.0,Dutch,English
gezegd,said,0.5,Dutch,English
makkelijker,easier,0.25,Dutch,English
beseft,realize,16.0,Dutch,English
zowat,almost,1.0,Dutch,English
onthouden,remember,0.5,Dutch,English
herhalen,repeat,0.5,Dutch,English
voldoende,sufficient,4.0,Dutch,English
besteden aan,spend on,1.0,Dutch,English
onderwerp,topic,0.25,Dutch,English
mening,opinion,0.25,Dutch,English
