original,translation,quotient,source_language,target_language
vieren,celebrate,0.125,Dutch,English
vele,many,0.03125,Dutch,English
meebrengen,bring along,0.5,Dutch,English
blij,happy,0.125,Dutch,English
bedoeling,intent,0.25,Dutch,English
uitgebreid,extensively,0.25,Dutch,English
vanwege,because of,0.125,Dutch,English
ter gelegenheid van,on the occasion of,0.25,Dutch,English
gelegenheid,occasion,0.125,Dutch,English
gebeurtenis,event,0.0625,Dutch,English
bezoeken,visit,0.125,Dutch,English
bepaalde,certain,1.0,Dutch,English
wereldoorlog,World War,0.125,Dutch,English
oorlog,war,0.03125,Dutch,English
ter herinnering aan,in memory of,0.25,Dutch,English
herinnering,memory,0.03125,Dutch,English
slachtoffers,Victims,0.125,Dutch,English
volwassenen,adults,0.125,Dutch,English
gedicht,poem,0.25,Dutch,English
knap,amazing,0.25,Dutch,English
Kerst,Christmas,0.0625,Dutch,English
echter,however,0.25,Dutch,English
straks,later,0.03125,Dutch,English
baan,job,0.25,Dutch,English
naast,besides,0.125,Dutch,English
schrijft,writes,0.125,Dutch,English
