original,translation,quotient,source_language,target_language
bieden,to offer,0.125,Dutch,English
ondertussen,in the meantime,0.0625,Dutch,English
durft,Dares,0.0625,Dutch,English
geweest,been,0.25,Dutch,English
rechtstreeks,directly,0.03125,Dutch,English
gingen,went,0.25,Dutch,English
grachten,Canals,0.25,Dutch,English
meemaken,experience,0.125,Dutch,English
gebouwen,buildings,0.25,Dutch,English
eeuw,century,0.5,Dutch,English
vervolgens,next,0.25,Dutch,English
zomaar,just like that,0.25,Dutch,English
hoewel,Although,0.0625,Dutch,English
minstens,at least,0.125,Dutch,English
voordat,before,0.25,Dutch,English
konden,could,0.25,Dutch,English
musea,museums,0.125,Dutch,English
trekken,attract,0.125,Dutch,English
eenmaal,after all,0.25,Dutch,English
kunst,art,0.5,Dutch,English
de moeite waard,worth the effort,0.0625,Dutch,English
ergens,somewhere,0.0625,Dutch,English
verhaal,story,0.25,Dutch,English
aanleding,reason,0.25,Dutch,English
tonen,show,0.0625,Dutch,English
uiteraard,ofc,0.125,Dutch,English
bekend,known,0.0625,Dutch,English
bezocht,visited,0.125,Dutch,English
beschermd,protected,0.125,Dutch,English
terecht,justified,0.0625,Dutch,English
