original,translation,quotient,source_language,target_language
eenzaam,lonely,0.0625,Dutch,English
boerderij,farm,0.5,Dutch,English
nog geen,not even,0.03125,Dutch,English
zochten,searched,0.0625,Dutch,English
stilte,silence,0.0625,Dutch,English
trieste,sad,0.125,Dutch,English
wijk,neighbourhood,0.0625,Dutch,English
somber,gloomy,0.125,Dutch,English
beviel,liked,0.125,Dutch,English
geleidelijk,gradually,0.0625,Dutch,English
verlangen,desire,0.0625,Dutch,English
vooral,especially,0.125,Dutch,English
stap gezet,step taken,0.125,Dutch,English
spijt,regret,0.125,Dutch,English
verbouwing,renovation,0.125,Dutch,English
sla,lettuce,0.0625,Dutch,English
knikt,nods,0.125,Dutch,English
wijst .. aan,points at,0.0625,Dutch,English
paard,horse,0.25,Dutch,English
wagen,wagon,0.125,Dutch,English
verdwenen,disappeared,0.25,Dutch,English
opheffing,closure,0.0625,Dutch,English
bedreigd,threatened,0.125,Dutch,English
leerlingen,pupils,0.125,Dutch,English
oorspronkelijke,original,0.5,Dutch,English
gemeenschap,community,0.25,Dutch,English
gebeurtenissen,events,0.125,Dutch,English
tref,meet,1.0,Dutch,English
begrafenis,funeral,0.125,Dutch,English
verenigingen,clubs,0.125,Dutch,English
toneel,theater,0.125,Dutch,English
landbouw,agriculture,0.125,Dutch,English
biedt,offers,0.0625,Dutch,English
niettemin,nevertheless,0.5,Dutch,English
overwegen,consider,0.0625,Dutch,English
gezinnen,Families,0.125,Dutch,English
zich vestigen,settle,0.03125,Dutch,English
aantrekkelijke,attractive,0.015625,Dutch,English
