original,translation,quotient,source_language,target_language
kaart,map,0.18225,Dutch,English
ziet er uit,looks like,0.0820125,Dutch,English
ten eerste,first of all,0.1375,Dutch,English
grens,border,0.22275,Dutch,English
vlak,flat,0.091125,Dutch,English
provincie,province,0.18225,Dutch,English
bergje,small mountain,0.028125,Dutch,English
daar .. op,on it,0.16238475,Dutch,English
trots,proud,0.2025,Dutch,English
zag,saw,0.05625,Dutch,English
laag,low,0.050625,Dutch,English
laagste,lowest,0.18225,Dutch,English
gebieden,areas,0.2695275,Dutch,English
liggen,lay,0.091125,Dutch,English
zeeniveau,sea level,0.02784375,Dutch,English
dijken,Dykes,0.1804275,Dutch,English
dammen,dams,0.17433922005,Dutch,English
droog,dry,0.45,Dutch,English
stukken,parts,0.0455625,Dutch,English
eilanden,islands,0.07381125,Dutch,English
vierde,fourth,0.10125,Dutch,English
rivieren,Rivers,0.05625,Dutch,English
schepen,ships,0.034375,Dutch,English
wegen,roads,0.0820125,Dutch,English
vormt,forms,0.22275,Dutch,English
gevaar,danger,0.166375,Dutch,English
breken,break,0.10125,Dutch,English
ramp,disaster,0.111375,Dutch,English
gebeurde,happened,0.02784375,Dutch,English
nog eens,one more time,0.07381125,Dutch,English
gebeuren,happen,0.040190225625,Dutch,English
enkele,a few,0.3969405,Dutch,English
gebouwd,built,0.32805,Dutch,English
kleiner,smaller,0.125,Dutch,English
groeien,grow,0.04465580625,Dutch,English
woningen,homes,0.2952450000000001,Dutch,English
bedrijven,companies,0.1091586375,Dutch,English
ten slotte,finally,0.050625,Dutch,English
noem,call,0.1125,Dutch,English
afstand,distance,0.3025,Dutch,English
ongeveer,about,0.037434375,Dutch,English
overal,everywhere,0.0625,Dutch,English
bergen,mountains,0.0455625,Dutch,English
behalve,except,0.04100625,Dutch,English
houden,hold,0.11026125,Dutch,English
stijgt,Increases,0.0625,Dutch,English
steeds,repeatedly,0.036905625,Dutch,English
brede,broad,0.07381125,Dutch,English
