original,translation,quotient,source_language,target_language
trouwen,marry,0.5,Dutch,English
blijven,stay,0.5,Dutch,English
getuige,witness,0.125,Dutch,English
gemeentehuis,city hall,1.0,Dutch,English
verplicht,mandatory,2.0,Dutch,English
ambtenaar,civil servant,1.0,Dutch,English
vertelde,told,0.5,Dutch,English
dienst,service,0.5,Dutch,English
maakte,made,0.5,Dutch,English
indruk,impression,0.5,Dutch,English
beloofden,promised,8.0,Dutch,English
zorgen voor,to take care of,1.0,Dutch,English
trouwde,married,0.25,Dutch,English
beloven,promise,0.25,Dutch,English
huwelijken,marriages,1.0,Dutch,English
eindigt,ends,1.0,Dutch,English
scheiding,divorce,1.0,Dutch,English
negatief,negative,0.5,Dutch,English
geweldig,great,4.0,Dutch,English
feest,party,1.0,Dutch,English
gasten,guests,0.5,Dutch,English
aanwezig,present,2.0,Dutch,English
vertelden,told,0.5,Dutch,English
lied,song,0.5,Dutch,English
gezellige,entertaining,0.5,Dutch,English
vreselijk,terrible,2.0,Dutch,English
zou,would,2.0,Dutch,English
doel,goal,4.0,Dutch,English
om,to,1.0,Dutch,English
opleiding,education,1.0,Dutch,English
afmaken,finish,1.0,Dutch,English
relatie,relationship,1.0,Dutch,English
regelen,arrange,2.0,Dutch,English
officieel,official,0.5,Dutch,English
registreet,registers,2.0,Dutch,English
symbool,symbol,1.0,Dutch,English
bijzondere,exceptional,2.0,Dutch,English
band,bond,1.0,Dutch,English
samenleving,society,0.5,Dutch,English
rol,role,0.125,Dutch,English
leuker,nicer,0.5,Dutch,English
jonge,young,0.5,Dutch,English
